Date,Dangote_cement,Mtn
05/21/24,656.7,230.5
05/20/24,656.7,230
05/17/24,656.7,224
05/16/24,656.7,224
05/15/24,656.7,224
05/14/24,656.7,220
05/13/24,656.7,220
05/10/2024,656.7,220
05/09/2024,656.7,220
05/08/2024,656.7,220
05/07/2024,656.7,215
05/06/2024,656.7,215.5
05/03/2024,656.7,215
05/02/2024,656.7,210
04/30/24,656.7,210
04/29/24,656.7,202
04/26/24,656.7,202
04/25/24,656.7,202
04/24/24,656.7,201.6
04/23/24,656.7,224
04/22/24,656.7,224
04/19/24,656.7,224
04/18/24,656.7,224
04/17/24,656.7,224
04/16/24,656.7,224
04/15/24,686.7,227
04/12/2024,686.7,227
04/08/2024,686.7,227
04/05/2024,686.7,227
04/04/2024,686.7,229
04/03/2024,686.7,232
04/02/2024,686.7,232
03/28/24,686.7,232
03/27/24,686.7,229.9
03/26/24,686.7,231
03/25/24,686.7,235
03/22/24,686.7,235
03/21/24,686.7,235
03/20/24,686.7,240
03/19/24,686.7,240
03/18/24,686.7,247.5
03/15/24,686.7,267.8
03/14/24,686.7,248
03/13/24,686.7,249
03/12/2024,686.7,243.5
03/11/2024,686.7,221.4
03/08/2024,686.7,221.4
03/07/2024,686.7,201.3
03/06/2024,686.7,183
03/05/2024,686.7,183
03/04/2024,686.7,185
03/01/2024,686.7,200.7
02/29/24,686.7,222.9
02/28/24,686.7,222.9
02/27/24,686.7,222.9
02/26/24,686.7,247.5
02/23/24,686.7,247.5
02/22/24,686.7,247.5
02/21/24,686.7,247.5
02/20/24,686.7,247.5
02/19/24,686.7,247.5
02/16/24,763,275
02/15/24,763,275
02/14/24,763,275
02/13/24,763,275
02/12/2024,763,275
02/09/2024,763,275
02/08/2024,763,275
02/07/2024,763,275
02/06/2024,763,275
02/05/2024,763,274
02/02/2024,763,290
02/01/2024,763,275
01/31/24,763,281
01/30/24,763,293.9
01/29/24,763,293.9
01/26/24,694.1,293.9
01/25/24,694.1,293.9
01/24/24,694.1,293.9
01/23/24,651.8,293.9
01/22/24,592.6,290
01/19/24,538.8,290.1
01/18/24,489.9,288.1
01/17/24,452.5,288
01/16/24,411.9,288
01/15/24,375,283
01/12/2024,350,283
01/11/2024,350,283
01/10/2024,350,282
01/09/2024,337.1,295
01/08/2024,325,285
01/05/2024,325,285
01/04/2024,319.9,271.5
01/03/2024,319.9,264
01/02/2024,319.9,264
12/29/23,319.9,264
12/28/23,319.9,262.5
12/27/23,313,251
12/22/23,320,250
12/21/23,320,259.8
12/20/23,320,246.5
12/19/23,320,246.5
12/18/23,320,245
12/15/23,320,245
12/14/23,320,245
12/13/23,320,245
12/12/2023,320,245
12/11/2023,320,240
12/08/2023,320,238.6
12/07/2023,320,238.6
12/06/2023,320,238.6
12/05/2023,320,238
12/04/2023,320,238
12/01/2023,320,238
11/30/23,320,238
11/29/23,320,238
11/28/23,320,238
11/27/23,328,238
11/24/23,328,238
11/23/23,328,238
11/22/23,328,238
11/21/23,328,239.5
11/20/23,328,239.5
11/17/23,328,239.5
11/16/23,328,241
11/15/23,328,240.5
11/14/23,328,240
11/13/23,328,240
11/10/2023,328,234
11/09/2023,328,234
11/08/2023,328,234
11/07/2023,328,234
11/06/2023,328,234
11/03/2023,328,234
11/02/2023,328,240
11/01/2023,328,246
10/31/23,328,246
10/30/23,328,246
10/27/23,310.1,246.5
10/26/23,310.1,249
10/25/23,310.1,250
10/24/23,310.1,250
10/23/23,310.1,249.5
10/20/23,310.1,249.5
10/19/23,310.1,249.5
10/18/23,310.1,250
10/17/23,310.1,250
10/16/23,310.1,250
10/13/23,310.1,250
10/12/2023,310.1,250
10/11/2023,310.1,250
10/10/2023,310.1,250
10/09/2023,310.1,250
10/06/2023,310.1,250
10/05/2023,340,250
10/04/2023,340,250
10/03/2023,340,260
09/29/23,340,264
09/28/23,334,264.5
09/26/23,334,264.5
09/25/23,334,264.5
09/22/23,334,269
09/21/23,365,269
09/20/23,365,270.1
09/19/23,365,270.1
09/18/23,365,270.1
09/15/23,365,270.1
09/14/23,365,270
09/13/23,365,270
09/12/2023,365,270
09/11/2023,365,274.2
09/08/2023,365,274.2
09/07/2023,365,274.5
09/06/2023,370,274.5
09/05/2023,369.8,274.5
09/04/2023,369.8,274.4
09/01/2023,369.8,274.4
08/31/23,360,274.5
08/30/23,360,274.5
08/29/23,360,274.5
08/28/23,360,274.5
08/25/23,360,274.5
08/24/23,360,274.5
08/23/23,360,275
08/22/23,360,275
08/21/23,360,275
08/18/23,360,275
08/17/23,349.9,274.4
08/16/23,349.9,280
08/15/23,349.9,280
08/14/23,349.9,279.9
08/11/2023,349.9,279.9
08/10/2023,349.9,277
08/09/2023,320,276
08/08/2023,352,280
08/07/2023,352,280
08/04/2023,352,277
08/03/2023,352,280
08/02/2023,352,263
08/01/2023,352,263
07/31/23,352,262
07/28/23,352,272
07/27/23,352,275.1
07/26/23,352,275.1
07/25/23,352,284.9
07/24/23,352,270
07/21/23,352,270
07/20/23,352,270
07/19/23,352,270
07/18/23,352,265.1
07/17/23,330,265.1
07/14/23,335,265.1
07/13/23,326,265.1
07/12/2023,326,278
07/11/2023,360.7,278
07/10/2023,330.1,280
07/07/2023,300.1,275
07/06/2023,290,274
07/05/2023,285,274
07/04/2023,285,273
07/03/2023,285,278
06/30/23,285,273.4
06/27/23,287.5,267.2
06/26/23,287.5,260
06/23/23,287.5,265.5
06/22/23,287.5,265.5
06/21/23,287.5,265
06/20/23,287.3,265
06/19/23,286.9,265
06/16/23,284,274
06/15/23,284,274
06/14/23,284,284.9
06/13/23,286.8,259
06/09/2023,283,250
06/08/2023,286,250
06/07/2023,290,249.9
06/06/2023,290,249.9
06/05/2023,290,249.9
06/02/2023,290,249.9
06/01/2023,290,249.9
05/31/23,290,251
05/30/23,290,250
05/26/23,270,232.5
05/25/23,270,231.2
05/24/23,270,231
05/23/23,270,231
05/22/23,270,231
05/19/23,270,229
05/18/23,270,229
05/17/23,270,229
05/16/23,270,229
05/15/23,270,229
05/12/2023,270,229
05/11/2023,270,229
05/10/2023,270,229
05/09/2023,270,228.9
05/08/2023,270,228.9
05/05/2023,270,228.9
05/04/2023,270,229
05/03/2023,270,228.5
05/02/2023,270,230
04/28/23,270,228.7
04/27/23,270,230
04/26/23,270,230
04/25/23,270,229
04/20/23,270,224
04/19/23,270,224
04/18/23,270,224
04/17/23,270,224
04/14/23,270,240
04/13/23,270,240
04/12/2023,270,240
04/11/2023,270,240
04/06/2023,270,240
04/05/2023,270,240
04/04/2023,270,240
04/03/2023,270,240
03/31/23,270,240
03/30/23,290,240
03/29/23,290,220.4
03/28/23,276,223
03/27/23,288,233
03/24/23,288,236
03/23/23,288,236
03/22/23,288,236
03/21/23,288,236
03/20/23,288,236
03/17/23,288,236
03/16/23,288,236
03/15/23,288,248.3
03/14/23,288,248.3
03/13/23,288,248.3
03/10/2023,288,248.3
03/09/2023,288,248.3
03/08/2023,285,249.5
03/07/2023,280,248
03/06/2023,278,248
03/03/2023,278,245
03/02/2023,278,245
03/01/2023,278,245
02/28/23,278,245
02/27/23,272,245
02/24/23,272,245
02/23/23,270,245.5
02/22/23,270,245.5
02/21/23,270,245.5
02/20/23,270,245.5
02/17/23,270,245.5
02/16/23,270,245.5
02/15/23,270,245.5
02/14/23,270,245.5
02/13/23,270,241.9
02/10/2023,270,241.9
02/09/2023,270,243.9
02/08/2023,270,243.9
02/07/2023,265,243.9
02/06/2023,266.9,242
02/03/2023,266.9,237.9
02/02/2023,266.9,233.5
02/01/2023,266.9,225
01/31/23,266.9,225
01/30/23,266.9,225
01/27/23,266.9,225
01/26/23,266.9,229
01/25/23,266.9,229
01/24/23,266.9,230
01/23/23,265,230
01/20/23,265,229.9
01/19/23,265,229.9
01/18/23,265,229.9
01/17/23,270,229.9
01/16/23,270,229.9
01/13/23,270,229.9
01/12/2023,270,220
01/11/2023,270,215
01/10/2023,270,215
01/09/2023,262,215
01/06/2023,262,215
01/05/2023,261,215
01/04/2023,261,215
01/03/2023,261,215
12/30/22,261,215
12/29/22,261,215
12/28/22,261,214
12/23/22,261,214
12/22/22,261,214
12/21/22,262.3,214
12/20/22,262.3,214
12/19/22,262.3,214
12/16/22,262.3,214
12/15/22,262.3,214
12/14/22,262.3,208
12/13/22,262.3,208
12/12/2022,262.3,215
12/09/2022,262.3,215
12/08/2022,262.3,215
12/07/2022,262.3,220
12/06/2022,262.3,220
12/05/2022,262.3,220
12/02/2022,262.3,220
12/01/2022,262.3,215
11/30/22,262.3,218.5
11/29/22,262.3,210.5
11/28/22,262.3,210
11/25/22,262.3,210
11/24/22,262.3,200
11/23/22,262.3,200
11/22/22,238.5,200
11/21/22,238.5,197
11/18/22,238.5,197
11/17/22,238.5,188
11/16/22,238.5,188
11/15/22,238.5,187.4
11/14/22,238.5,187.4
11/11/2022,238.5,192
11/10/2022,238.5,192
11/09/2022,221.3,192
11/08/2022,220,192
11/07/2022,240,196
11/04/2022,240,196
11/03/2022,240,196
11/02/2022,240,196
11/01/2022,220.5,196.9
10/31/22,220.5,196.9
10/28/22,220.5,197
10/27/22,245,197.1
10/26/22,245,197
10/25/22,245,197
10/24/22,245,197.5
10/21/22,245,195
10/20/22,245,195
10/19/22,245,195
10/18/22,245,199
10/17/22,245,199
10/14/22,245,199
10/13/22,245,199
10/12/2022,245,199
10/11/2022,245,199
10/07/2022,245,199
10/06/2022,245,197.4
10/05/2022,245,199.8
10/04/2022,245,199.8
09/30/22,245,199.8
09/29/22,245,200
09/28/22,245,200
09/27/22,245,200
09/26/22,245,200
09/23/22,245,200.1
09/22/22,245,199.9
09/21/22,245,199.9
09/20/22,245,199.9
09/19/22,245,200
09/16/22,245,200
09/15/22,245,200
09/14/22,245,200
09/13/22,245,200
09/12/2022,245,200
09/09/2022,245,200
09/08/2022,245,200
09/07/2022,245,200
09/06/2022,245,200
09/05/2022,245,200
09/02/2022,245,200
09/01/2022,245,199
08/31/22,245,199
08/30/22,245,199
08/29/22,245,200
08/26/22,245,200
08/25/22,245,200
08/24/22,245,200
08/23/22,245,200
08/22/22,258.8,196
08/19/22,258.8,196
08/18/22,258.8,200
08/17/22,258.8,201
08/16/22,258.8,201
08/15/22,258.8,201
08/12/2022,258.8,200
08/11/2022,265,200
08/10/2022,265,201
08/09/2022,241,201
08/08/2022,265,210
08/05/2022,265,214.9
08/04/2022,265,214.9
08/03/2022,265,214.8
08/02/2022,265,215
08/01/2022,265,200.1
07/29/22,265,200.1
07/28/22,265,190
07/27/22,265,190
07/26/22,265,192.5
07/25/22,265,213
07/22/22,265,229
07/21/22,265,229
07/20/22,265,229
07/19/22,265,229
07/18/22,265,230
07/15/22,265,230.3
07/14/22,275,230.3
07/13/22,275,230.3
07/08/2022,275,230.3
07/07/2022,275,230.3
07/06/2022,275,230.3
07/05/2022,275,230.3
07/04/2022,275,230.3
07/01/2022,275,230
06/30/22,275,230
06/29/22,275,230
06/28/22,275,230.2
06/27/22,275,235
06/24/22,275,230.1
06/23/22,275,229.5
06/22/22,275,221
06/21/22,270,219
06/20/22,249.3,221
06/17/22,277,221
06/16/22,277,234.2
06/15/22,277,234.2
06/14/22,277,239.9
06/10/2022,277,239.9
06/09/2022,277,240
06/08/2022,277,240
06/07/2022,277,240
06/06/2022,277,234.5
06/03/2022,277,230
06/02/2022,277,230
06/01/2022,277,230
05/31/22,277,230
05/30/22,297,230
05/27/22,297,237
05/26/22,297,240
05/25/22,297,230
05/24/22,297,230
05/23/22,300,249
05/20/22,300,249
05/19/22,300,270
05/18/22,300,255.5
05/17/22,300,255.5
05/16/22,300,260
05/13/22,300,261.6
05/12/2022,300,261.6
05/11/2022,300,262.1
05/10/2022,292.4,240
05/09/2022,292.4,249
05/06/2022,292.4,227.5
05/05/2022,292.4,227.5
05/04/2022,292.4,214.5
04/29/22,292.4,214.5
04/28/22,285.8,214
04/27/22,285.8,212
04/26/22,285.8,212
04/25/22,285.8,213
04/22/22,285.4,213
04/21/22,285.4,213
04/20/22,285.4,213
04/19/22,280,213
04/14/22,280,213
04/13/22,273.5,213
04/12/2022,273.5,211.1
04/11/2022,273.5,208.5
04/08/2022,273.5,206
04/07/2022,273.5,206
04/06/2022,273.5,212
04/05/2022,273.5,212
04/04/2022,273.5,212
04/01/2022,273.5,214
03/31/22,273.5,214
03/30/22,273.5,210
03/29/22,273.5,207
03/28/22,273.5,207
03/25/22,273.5,204
03/24/22,273.5,204
03/23/22,273.5,205.5
03/22/22,273.5,205.5
03/21/22,273.5,205.5
03/18/22,273.5,205.5
03/17/22,273.5,205
03/16/22,273.5,205
03/15/22,273.5,204.5
03/14/22,273.5,205
03/11/2022,273.5,206
03/10/2022,273.5,206
03/09/2022,273.5,204
03/08/2022,273.5,204
03/07/2022,273.5,203.5
03/04/2022,273.5,203.5
03/03/2022,273.5,204
03/02/2022,273.5,203
03/01/2022,273.5,203
02/28/22,273.5,201
02/25/22,273.5,201
02/24/22,273.5,200
02/23/22,273.5,200
02/22/22,273.5,199.8
02/21/22,273.5,199.8
02/18/22,273.5,199.5
02/17/22,273.5,199.8
02/16/22,273.5,200
02/15/22,274.8,199
02/14/22,274.8,198.5
02/11/2022,274.8,198
02/10/2022,274.8,197
02/09/2022,274.8,197
02/08/2022,274.8,197
02/07/2022,274.8,199
02/04/2022,274.8,200.3
02/03/2022,274.8,200
02/02/2022,260.6,200
02/01/2022,260.6,202.5
01/31/22,260.6,197.5
01/28/22,260.6,190
01/27/22,260.6,190
01/26/22,284.9,190
01/25/22,284.9,190
01/24/22,284.9,190
01/21/22,284.9,190
01/20/22,284.9,190
01/19/22,270,190
01/18/22,270,190
01/17/22,270,190
01/14/22,270,190
01/13/22,275,190
01/12/2022,275,190
01/11/2022,259,186
01/10/2022,260,185.5
01/07/2022,250,197
01/06/2022,250,197
01/05/2022,250,197
01/04/2022,257,197
12/31/21,257,197
12/30/21,257,182
12/29/21,257,182
12/24/21,257,182.7
12/23/21,257,182.7
12/22/21,256.5,183.5
12/21/21,256.5,186
12/20/21,256.5,185.9
12/17/21,255,187
12/16/21,252,187
12/15/21,255,187
12/14/21,255,186.8
12/13/21,255,186.8
12/10/2021,252,174.5
12/09/2021,252,174.5
12/08/2021,280,174.5
12/07/2021,280,167
12/06/2021,280,167
12/03/2021,280,167
12/02/2021,280,169.2
12/01/2021,280,171
11/30/21,280,190
11/29/21,280,190
11/26/21,280,190
11/25/21,280,190
11/24/21,280,190
11/23/21,280,190
11/22/21,280,190
11/19/21,280,190
11/18/21,280,190
11/17/21,280,190
11/16/21,280,190
11/15/21,280,190
11/12/2021,280,191
11/11/2021,280,200
11/10/2021,280,201
11/09/2021,280,200
11/08/2021,280,192.5
11/05/2021,280,175.6
11/04/2021,280,175.6
11/03/2021,280,175.6
11/02/2021,280,175.6
11/01/2021,280,175.6
10/29/21,280,175.6
10/28/21,280,175.6
10/27/21,280,174
10/26/21,280,174
10/25/21,280,174
10/22/21,280,174
10/21/21,280,174
10/20/21,280,172
10/18/21,280,169.9
10/15/21,280,174.9
10/14/21,280,174.9
10/13/21,280,174.9
10/12/2021,280,174.9
10/11/2021,280,174.9
10/08/2021,280,174.9
10/07/2021,280,174.9
10/06/2021,280,174.9
10/05/2021,280,174.9
10/04/2021,280,174.9
09/30/21,280,174.9
09/29/21,261,175
09/28/21,245,175
09/27/21,245,175
09/24/21,245,175
09/23/21,245,175
09/22/21,245,175
09/21/21,245,175
09/20/21,245,175
09/17/21,245,175
09/16/21,245,175
09/15/21,245,175
09/14/21,245,172.5
09/13/21,245,172.5
09/10/2021,245,172.5
09/09/2021,245,172.5
09/08/2021,245,172.5
09/07/2021,245,172.5
09/06/2021,245,172.5
09/03/2021,245,172.5
09/02/2021,245,172.5
09/01/2021,243,172.5
08/31/21,243,172.5
08/30/21,243,172.5
08/27/21,249.6,172.5
08/26/21,249.6,172
08/25/21,249.6,172
08/24/21,249.6,172
08/23/21,249.6,172
08/20/21,249.6,172
08/19/21,249.6,176.5
08/18/21,249.6,172.1
08/17/21,249.6,172.1
08/16/21,241.6,172.1
08/13/21,241.6,172.1
08/12/2021,241.6,172.1
08/11/2021,240,172.1
08/10/2021,240,172.1
08/09/2021,240,168.1
08/06/2021,248.1,168
08/05/2021,248.1,168
08/04/2021,248.1,171
08/03/2021,248.1,171
08/02/2021,248.1,168
07/30/21,248.1,165
07/29/21,248,164.1
07/28/21,248,163.5
07/27/21,248,163.1
07/26/21,248,165
07/23/21,248,165
07/22/21,248,165
07/19/21,230,165
07/16/21,230,165
07/15/21,230,164
07/14/21,230,164
07/13/21,230,163
07/12/2021,230,163
07/09/2021,230,164
07/08/2021,229.9,164
07/07/2021,229.9,164
07/06/2021,229.9,164
07/05/2021,229.9,164
07/02/2021,229.9,164
07/01/2021,221,164
06/30/21,221,164
06/29/21,221,163
06/28/21,221,163
06/25/21,221,163
06/24/21,230,165
06/23/21,230,165
06/22/21,230,165
06/21/21,230,165
06/18/21,230,165
06/17/21,230,165
06/16/21,230,165
06/15/21,230,163
06/11/2021,230,162.7
06/10/2021,230,165
06/09/2021,230,165
06/08/2021,225,165
06/07/2021,220,165
06/04/2021,220,165
06/03/2021,215.5,164.9
06/02/2021,215.5,162.5
06/01/2021,212.5,162.5
05/31/21,212.5,162.5
05/28/21,212.5,160.9
05/27/21,204,160.5
05/26/21,210,160.5
05/25/21,210,160.5
05/24/21,210,160.5
05/21/21,210,160
05/20/21,210,160
05/19/21,214,160
05/18/21,215,160
05/17/21,215,160
05/14/21,215,161.7
05/11/2021,215,161.7
05/10/2021,211.6,162
